subj subexpt related semint n2num errnd errd errcornd errcord list
68 SemRel nullrelated unint sing 0 0 1 2 4
69 SemRel nullrelated integ plur 0 0 5 5 5
69 SemRel nullrelated integ sing 0 0 5 5 5
69 SemRel nullrelated unint plur 0 0 5 6 5
69 SemRel nullrelated unint sing 0 0 3 4 5
70 SemRel nullrelated integ plur 0 0 1 1 6
70 SemRel nullrelated integ sing 0 0 0 0 6
70 SemRel nullrelated unint plur 0 0 2 3 6
70 SemRel nullrelated unint sing 0 0 0 2 6
71 SemRel nullrelated integ plur 1 1 4 5 7
71 SemRel nullrelated integ sing 0 0 4 4 7
71 SemRel nullrelated unint plur 0 0 5 5 7
71 SemRel nullrelated unint sing 0 0 2 2 7
72 SemRel nullrelated integ plur 0 0 1 1 8
72 SemRel nullrelated integ sing 0 0 2 2 8
72 SemRel nullrelated unint plur 0 0 2 2 8
72 SemRel nullrelated unint sing 0 0 1 1 8
73 SemRel nullrelated integ plur 0 0 2 3 1
73 SemRel nullrelated integ sing 0 0 0 0 1
73 SemRel nullrelated unint plur 0 0 2 2 1
73 SemRel nullrelated unint sing 0 0 4 5 1
74 SemRel nullrelated integ plur 0 0 3 3 2
74 SemRel nullrelated integ sing 0 0 6 6 2
74 SemRel nullrelated unint plur 0 0 4 4 2
74 SemRel nullrelated unint sing 0 0 1 1 2
75 SemRel nullrelated integ plur 0 0 5 5 3
75 SemRel nullrelated integ sing 0 0 4 4 3
75 SemRel nullrelated unint plur 0 0 4 4 3
75 SemRel nullrelated unint sing 0 0 4 4 3
76 SemRel nullrelated integ plur 0 0 3 3 4
76 SemRel nullrelated integ sing 0 0 3 3 4
76 SemRel nullrelated unint plur 0 0 2 2 4
76 SemRel nullrelated unint sing 0 0 0 1 4
77 SemRel nullrelated integ plur 0 0 4 4 5
77 SemRel nullrelated integ sing 0 0 5 5 5
77 SemRel nullrelated unint plur 0 0 3 3 5
77 SemRel nullrelated unint sing 0 0 4 6 5
78 SemRel nullrelated integ plur 0 0 4 4 6
78 SemRel nullrelated integ sing 0 0 3 3 6
78 SemRel nullrelated unint plur 0 0 1 1 6
78 SemRel nullrelated unint sing 0 0 2 2 6
79 SemRel nullrelated integ plur 1 1 1 1 7
79 SemRel nullrelated integ sing 0 0 1 1 7
79 SemRel nullrelated unint plur 0 0 1 1 7
79 SemRel nullrelated unint sing 0 0 4 4 7
80 SemRel nullrelated integ plur 0 0 4 4 8
80 SemRel nullrelated integ sing 0 0 3 3 8
80 SemRel nullrelated unint plur 0 0 3 3 8
80 SemRel nullrelated unint sing 0 0 2 2 8
81 SemRel nullrelated integ plur 0 0 2 2 1
81 SemRel nullrelated integ sing 0 0 5 5 1
81 SemRel nullrelated unint plur 0 0 5 5 1
81 SemRel nullrelated unint sing 0 0 3 4 1
82 SemRel nullrelated integ plur 0 0 4 4 2
82 SemRel nullrelated integ sing 0 0 3 3 2
82 SemRel nullrelated unint plur 0 0 3 3 2
82 SemRel nullrelated unint sing 0 0 4 4 2
83 SemRel nullrelated integ plur 0 0 4 4 3
83 SemRel nullrelated integ sing 0 0 3 3 3
83 SemRel nullrelated unint plur 1 1 3 4 3
83 SemRel nullrelated unint sing 0 0 3 4 3
84 SemRel nullrelated integ plur 0 0 5 5 4
84 SemRel nullrelated integ sing 0 0 2 2 4
84 SemRel nullrelated unint plur 0 0 2 2 4
84 SemRel nullrelated unint sing 0 0 5 5 4
85 SemRel nullrelated integ plur 0 0 0 0 5
85 SemRel nullrelated integ sing 0 0 2 3 5
85 SemRel nullrelated unint plur 0 0 0 0 5
85 SemRel nullrelated unint sing 0 0 0 0 5
86 SemRel nullrelated integ plur 0 0 5 6 6
86 SemRel nullrelated integ sing 0 0 4 4 6
86 SemRel nullrelated unint plur 0 0 4 6 6
86 SemRel nullrelated unint sing 0 0 3 4 6
87 SemRel nullrelated integ plur 0 0 2 2 7
87 SemRel nullrelated integ sing 0 0 1 2 7
87 SemRel nullrelated unint plur 0 0 0 0 7
87 SemRel nullrelated unint sing 0 0 2 3 7
88 SemRel nullrelated integ plur 0 0 2 3 8
88 SemRel nullrelated integ sing 0 0 5 5 8
88 SemRel nullrelated unint plur 0 0 2 2 8
88 SemRel nullrelated unint sing 0 0 1 1 8
89 SemRel nullrelated integ plur 0 0 3 3 1
89 SemRel nullrelated integ sing 0 0 4 4 1
89 SemRel nullrelated unint plur 0 0 2 2 1
89 SemRel nullrelated unint sing 0 0 4 4 1
90 SemRel nullrelated integ plur 0 0 4 4 2
90 SemRel nullrelated integ sing 0 0 2 3 2
90 SemRel nullrelated unint plur 0 0 2 5 2
90 SemRel nullrelated unint sing 0 0 2 3 2
91 SemRel nullrelated integ plur 0 0 2 2 3
91 SemRel nullrelated integ sing 0 0 2 2 3
91 SemRel nullrelated unint plur 0 0 4 4 3
91 SemRel nullrelated unint sing 0 0 4 4 3
92 SemRel nullrelated integ plur 0 0 3 3 4
92 SemRel nullrelated integ sing 0 0 4 4 4
92 SemRel nullrelated unint plur 0 0 2 2 4
92 SemRel nullrelated unint sing 0 0 5 5 4
93 SemRel nullrelated integ plur 0 0 3 3 5
93 SemRel nullrelated integ sing 0 0 3 3 5
93 SemRel nullrelated unint plur 0 0 4 4 5
93 SemRel nullrelated unint sing 0 0 4 4 5
94 SemRel nullrelated integ plur 0 0 3 3 6
94 SemRel nullrelated integ sing 0 0 3 4 6
94 SemRel nullrelated unint plur 0 0 4 4 6
94 SemRel nullrelated unint sing 0 0 2 2 6
95 SemRel nullrelated integ plur 0 0 0 0 7
95 SemRel nullrelated integ sing 0 0 1 2 7
95 SemRel nullrelated unint plur 2 2 2 2 7
95 SemRel nullrelated unint sing 0 1 2 3 7
96 SemRel nullrelated integ plur 0 0 2 2 8
96 SemRel nullrelated integ sing 0 0 0 0 8
96 SemRel nullrelated unint plur 0 0 1 1 8
96 SemRel nullrelated unint sing 1 1 3 3 8
97 SemRel nullrelated integ plur 1 1 4 4 1
97 SemRel nullrelated integ sing 0 0 3 3 1
97 SemRel nullrelated unint plur 1 1 2 2 1
97 SemRel nullrelated unint sing 0 0 5 5 1
98 SemRel nullrelated integ plur 0 0 1 1 2
98 SemRel nullrelated integ sing 0 0 1 1 2
98 SemRel nullrelated unint plur 0 0 2 3 2
