subj subexpt semint related n2num errnd errd errcornd errcord list
48 SemRel unint rel sing 0 0 0 1 8
48 SemRel unint unrel plur 0 0 2 2 8
48 SemRel unint unrel sing 0 0 1 2 8
49 SemRel integ rel plur 0 0 1 1 1
49 SemRel integ rel sing 0 0 3 3 1
49 SemRel integ unrel plur 0 0 0 0 1
49 SemRel integ unrel sing 0 0 3 3 1
49 SemRel unint rel plur 0 0 0 0 1
49 SemRel unint rel sing 0 0 0 0 1
49 SemRel unint unrel plur 0 0 1 2 1
49 SemRel unint unrel sing 0 0 0 0 1
51 SemRel integ rel plur 0 0 1 1 3
51 SemRel integ rel sing 0 0 2 2 3
51 SemRel integ unrel plur 0 0 2 2 3
51 SemRel integ unrel sing 0 0 0 0 3
51 SemRel unint rel plur 0 0 2 2 3
51 SemRel unint rel sing 0 0 1 2 3
51 SemRel unint unrel plur 0 0 1 1 3
51 SemRel unint unrel sing 0 0 2 2 3
52 SemRel integ rel plur 0 0 1 1 4
52 SemRel integ rel sing 0 0 3 3 4
52 SemRel integ unrel plur 0 0 0 0 4
52 SemRel integ unrel sing 0 0 1 1 4
52 SemRel unint rel plur 1 1 1 1 4
52 SemRel unint rel sing 0 0 1 1 4
52 SemRel unint unrel plur 0 0 2 2 4
52 SemRel unint unrel sing 0 0 1 1 4
53 SemRel integ rel plur 0 0 1 1 5
53 SemRel integ rel sing 0 0 2 2 5
53 SemRel integ unrel plur 0 0 2 2 5
53 SemRel integ unrel sing 0 0 3 3 5
53 SemRel unint rel plur 0 0 2 2 5
53 SemRel unint rel sing 0 0 2 2 5
53 SemRel unint unrel plur 0 0 2 2 5
53 SemRel unint unrel sing 0 0 1 1 5
54 SemRel integ rel plur 0 0 0 0 6
54 SemRel integ rel sing 0 0 2 2 6
54 SemRel integ unrel plur 0 0 1 1 6
54 SemRel integ unrel sing 0 0 0 0 6
54 SemRel unint rel plur 0 0 1 2 6
54 SemRel unint rel sing 0 0 0 0 6
54 SemRel unint unrel plur 0 0 1 1 6
54 SemRel unint unrel sing 0 0 1 1 6
55 SemRel integ rel plur 0 0 1 2 7
55 SemRel integ rel sing 0 0 1 1 7
55 SemRel integ unrel plur 0 0 1 1 7
55 SemRel integ unrel sing 0 0 3 3 7
55 SemRel unint rel plur 0 0 1 1 7
55 SemRel unint rel sing 0 0 1 1 7
55 SemRel unint unrel plur 0 0 1 2 7
55 SemRel unint unrel sing 0 0 0 0 7
56 SemRel integ rel plur 1 1 1 1 8
56 SemRel integ rel sing 0 0 1 1 8
56 SemRel integ unrel plur 0 0 2 2 8
56 SemRel integ unrel sing 0 0 0 0 8
56 SemRel unint rel plur 0 0 1 1 8
56 SemRel unint rel sing 0 0 3 3 8
56 SemRel unint unrel plur 0 0 2 2 8
56 SemRel unint unrel sing 0 0 0 0 8
57 SemRel integ rel plur 0 0 0 0 1
57 SemRel integ rel sing 0 0 2 2 1
57 SemRel integ unrel plur 0 0 0 0 1
57 SemRel integ unrel sing 0 0 1 1 1
57 SemRel unint rel plur 0 0 0 0 1
57 SemRel unint rel sing 0 0 1 1 1
57 SemRel unint unrel plur 0 0 2 2 1
57 SemRel unint unrel sing 0 0 0 0 1
58 SemRel integ rel plur 0 0 1 2 2
58 SemRel integ rel sing 0 0 0 0 2
58 SemRel integ unrel plur 0 0 0 0 2
58 SemRel integ unrel sing 0 0 2 2 2
58 SemRel unint rel plur 0 0 0 0 2
58 SemRel unint rel sing 0 0 1 1 2
58 SemRel unint unrel plur 0 0 0 0 2
58 SemRel unint unrel sing 0 0 2 2 2
59 SemRel integ rel plur 0 0 1 1 3
59 SemRel integ rel sing 0 0 0 0 3
59 SemRel integ unrel plur 0 0 2 2 3
59 SemRel integ unrel sing 0 0 3 3 3
59 SemRel unint rel plur 0 0 1 1 3
59 SemRel unint rel sing 0 0 1 2 3
59 SemRel unint unrel plur 0 0 3 3 3
59 SemRel unint unrel sing 0 0 1 1 3
60 SemRel integ rel plur 0 0 0 0 4
60 SemRel integ rel sing 0 0 0 0 4
60 SemRel integ unrel plur 0 0 1 1 4
60 SemRel integ unrel sing 0 0 2 2 4
60 SemRel unint rel plur 0 0 1 2 4
60 SemRel unint rel sing 0 0 2 2 4
60 SemRel unint unrel plur 0 0 0 0 4
60 SemRel unint unrel sing 0 0 2 2 4
61 SemRel integ rel plur 0 0 0 0 5
61 SemRel integ rel sing 0 0 0 0 5
61 SemRel integ unrel plur 0 0 0 0 5
61 SemRel integ unrel sing 0 0 1 2 5
61 SemRel unint rel plur 0 0 0 0 5
61 SemRel unint rel sing 0 0 1 1 5
61 SemRel unint unrel plur 0 0 1 1 5
61 SemRel unint unrel sing 0 0 2 2 5
62 SemRel integ rel plur 0 0 1 1 6
62 SemRel integ rel sing 0 0 0 0 6
62 SemRel integ unrel plur 0 0 1 1 6
62 SemRel integ unrel sing 0 0 1 1 6
62 SemRel unint rel plur 0 0 2 2 6
62 SemRel unint rel sing 0 0 0 0 6
62 SemRel unint unrel plur 0 0 1 1 6
62 SemRel unint unrel sing 0 0 1 1 6
63 SemRel integ rel plur 0 0 1 1 7
63 SemRel integ rel sing 0 0 1 1 7
63 SemRel integ unrel plur 0 0 3 3 7
63 SemRel integ unrel sing 0 0 2 2 7
63 SemRel unint rel plur 0 0 1 1 7
63 SemRel unint rel sing 0 0 2 2 7
63 SemRel unint unrel plur 0 0 2 2 7
63 SemRel unint unrel sing 0 0 3 3 7
64 SemRel integ rel plur 1 1 1 1 8
64 SemRel integ rel sing 0 0 3 3 8
64 SemRel integ unrel plur 0 0 0 0 8
64 SemRel integ unrel sing 0 0 2 2 8
64 SemRel unint rel plur 0 0 2 2 8
64 SemRel unint rel sing 0 0 2 2 8
64 SemRel unint unrel plur 0 0 2 2 8
64 SemRel unint unrel sing 0 0 2 2 8
65 SemRel integ rel plur 0 0 1 1 1
65 SemRel integ rel sing 0 0 1 1 1
65 SemRel integ unrel plur 0 0 0 0 1
65 SemRel integ unrel sing 0 0 2 2 1
65 SemRel unint rel plur 1 1 1 1 1
65 SemRel unint rel sing 0 0 1 1 1
65 SemRel unint unrel plur 0 0 0 0 1
65 SemRel unint unrel sing 0 0 0 0 1
66 SemRel integ rel plur 1 1 2 2 2
66 SemRel integ rel sing 0 0 2 2 2
66 SemRel integ unrel plur 0 0 1 1 2
66 SemRel integ unrel sing 0 0 3 3 2
66 SemRel unint rel plur 1 1 2 2 2
66 SemRel unint rel sing 0 0 2 2 2
66 SemRel unint unrel plur 0 0 3 3 2
66 SemRel unint unrel sing 0 0 3 3 2
67 SemRel integ rel plur 0 0 2 2 3
67 SemRel integ rel sing 0 0 2 2 3
67 SemRel integ unrel plur 0 0 2 2 3
67 SemRel integ unrel sing 0 0 3 3 3
67 SemRel unint rel plur 0 0 2 2 3
67 SemRel unint rel sing 0 0 3 3 3
67 SemRel unint unrel plur 0 0 1 1 3
67 SemRel unint unrel sing 0 0 1 1 3
68 SemRel integ rel plur 0 0 1 2 4
68 SemRel integ rel sing 0 0 1 1 4
68 SemRel integ unrel plur 0 0 1 1 4
68 SemRel integ unrel sing 0 0 0 1 4
68 SemRel unint rel plur 0 0 0 0 4
68 SemRel unint rel sing 0 0 1 2 4
68 SemRel unint unrel plur 0 0 0 0 4
68 SemRel unint unrel sing 0 0 0 0 4
69 SemRel integ rel plur 0 0 2 2 5
69 SemRel integ rel sing 0 0 2 2 5
69 SemRel integ unrel plur 0 0 3 3 5
69 SemRel integ unrel sing 0 0 3 3 5
69 SemRel unint rel plur 0 0 2 3 5
69 SemRel unint rel sing 0 0 3 3 5
69 SemRel unint unrel plur 0 0 3 3 5
69 SemRel unint unrel sing 0 0 0 1 5
70 SemRel integ rel plur 0 0 1 1 6
70 SemRel integ rel sing 0 0 0 0 6
70 SemRel integ unrel plur 0 0 0 0 6
70 SemRel integ unrel sing 0 0 0 0 6
70 SemRel unint rel plur 0 0 1 1 6
70 SemRel unint rel sing 0 0 0 2 6
70 SemRel unint unrel plur 0 0 1 2 6
70 SemRel unint unrel sing 0 0 0 0 6
71 SemRel integ rel plur 0 0 2 2 7
71 SemRel integ rel sing 0 0 2 2 7
71 SemRel integ unrel plur 1 1 2 3 7
71 SemRel integ unrel sing 0 0 2 2 7
71 SemRel unint rel plur 0 0 2 2 7
71 SemRel unint rel sing 0 0 1 1 7
71 SemRel unint unrel plur 0 0 3 3 7
71 SemRel unint unrel sing 0 0 1 1 7
72 SemRel integ rel plur 0 0 1 1 8
72 SemRel integ rel sing 0 0 1 1 8
72 SemRel integ unrel plur 0 0 0 0 8
72 SemRel integ unrel sing 0 0 1 1 8
72 SemRel unint rel plur 0 0 1 1 8
72 SemRel unint rel sing 0 0 1 1 8
72 SemRel unint unrel plur 0 0 1 1 8
72 SemRel unint unrel sing 0 0 0 0 8
73 SemRel integ rel plur 0 0 1 2 1
73 SemRel integ rel sing 0 0 0 0 1
73 SemRel integ unrel plur 0 0 1 1 1
73 SemRel integ unrel sing 0 0 0 0 1
73 SemRel unint rel plur 0 0 1 1 1
73 SemRel unint rel sing 0 0 1 2 1
73 SemRel unint unrel plur 0 0 1 1 1
73 SemRel unint unrel sing 0 0 3 3 1
74 SemRel integ rel plur 0 0 2 2 2
74 SemRel integ rel sing 0 0 3 3 2
74 SemRel integ unrel plur 0 0 1 1 2
74 SemRel integ unrel sing 0 0 3 3 2
74 SemRel unint rel plur 0 0 2 2 2
74 SemRel unint rel sing 0 0 1 1 2
74 SemRel unint unrel plur 0 0 2 2 2
74 SemRel unint unrel sing 0 0 0 0 2
75 SemRel integ rel plur 0 0 2 2 3
75 SemRel integ rel sing 0 0 2 2 3
75 SemRel integ unrel plur 0 0 3 3 3
75 SemRel integ unrel sing 0 0 2 2 3
75 SemRel unint rel plur 0 0 2 2 3
75 SemRel unint rel sing 0 0 2 2 3
75 SemRel unint unrel plur 0 0 2 2 3
