S	subexp	semint	related	n2num	end	errd	cnd	errcord	list
148	SemRel	integ	unrel	plur	0	0	2	2	4
149	SemRel	integ	unrel	plur	0	0	3	3	5
150	SemRel	integ	unrel	plur	0	0	1	1	6
151	SemRel	integ	unrel	plur	0	0	1	1	7
152	SemRel	integ	unrel	plur	0	0	1	1	8
153	SemRel	integ	unrel	plur	0	0	1	1	1
154	SemRel	integ	unrel	plur	0	0	1	1	2
155	SemRel	integ	unrel	plur	0	0	1	1	3
156	SemRel	integ	unrel	plur	0	0	2	2	4
159	SemRel	integ	unrel	plur	0	0	2	3	7
160	SemRel	integ	unrel	plur	0	0	0	0	8
161	SemRel	integ	unrel	plur	0	0	1	1	1
162	SemRel	integ	unrel	plur	0	0	2	3	2
163	SemRel	integ	unrel	plur	0	0	2	2	3
164	SemRel	integ	unrel	plur	0	0	1	1	4
165	SemRel	integ	unrel	plur	0	0	1	1	5
166	SemRel	integ	unrel	plur	0	0	1	1	6
167	SemRel	integ	unrel	plur	0	0	1	1	7
168	SemRel	integ	unrel	plur	0	0	1	1	8
169	SemRel	integ	unrel	plur	0	0	1	1	1
170	SemRel	integ	unrel	plur	0	0	2	2	2
171	SemRel	integ	unrel	plur	0	0	3	3	3
172	SemRel	integ	unrel	plur	0	0	3	3	4
173	SemRel	integ	unrel	plur	0	0	0	0	5
174	SemRel	integ	unrel	plur	0	0	1	1	6
175	SemRel	integ	unrel	plur	0	0	2	3	7
176	SemRel	integ	unrel	plur	0	0	2	2	8
177	SemRel	integ	unrel	plur	1	1	2	2	1
178	SemRel	integ	unrel	plur	0	0	2	2	2
179	SemRel	integ	unrel	plur	0	0	0	0	3
180	SemRel	integ	unrel	plur	0	0	1	1	4
181	SemRel	integ	unrel	plur	0	0	1	1	5
182	SemRel	integ	unrel	plur	0	0	3	3	6
183	SemRel	integ	unrel	plur	0	0	1	1	7
184	SemRel	integ	unrel	plur	0	0	0	0	8
185	SemRel	integ	unrel	plur	0	0	2	2	1
186	SemRel	integ	unrel	plur	0	0	1	1	2
187	SemRel	integ	unrel	plur	0	0	0	1	3
188	SemRel	integ	unrel	plur	0	0	1	1	4
189	SemRel	integ	unrel	plur	0	0	1	2	5
190	SemRel	integ	unrel	plur	0	0	3	3	6
193	SemRel	integ	unrel	plur	0	0	1	1	1
194	SemRel	integ	unrel	plur	0	0	1	1	2
195	SemRel	integ	unrel	plur	0	0	2	2	3
196	SemRel	integ	unrel	plur	0	1	2	3	4
197	SemRel	integ	unrel	plur	0	0	1	1	5
198	SemRel	integ	unrel	plur	0	0	1	3	6
199	SemRel	integ	unrel	plur	0	0	1	1	7
200	SemRel	integ	unrel	plur	2	2	3	3	8
201	SemRel	integ	unrel	plur	0	0	1	1	1
202	SemRel	integ	unrel	plur	0	0	0	0	2
203	SemRel	integ	unrel	plur	1	1	1	1	3
204	SemRel	integ	unrel	plur	0	0	2	3	4
205	SemRel	integ	unrel	plur	0	0	2	2	5
206	SemRel	integ	unrel	plur	0	0	2	2	6
207	SemRel	integ	unrel	plur	0	0	2	2	7
208	SemRel	integ	unrel	plur	0	0	2	2	8
209	SemRel	integ	unrel	plur	0	0	2	2	1
210	SemRel	integ	unrel	plur	0	0	1	1	2
211	SemRel	integ	unrel	plur	0	0	1	1	3
212	SemRel	integ	unrel	plur	0	0	2	2	4
213	SemRel	integ	unrel	plur	0	0	1	2	5
214	SemRel	integ	unrel	plur	0	0	3	3	6
215	SemRel	integ	unrel	plur	0	0	2	2	7
216	SemRel	integ	unrel	plur	0	0	3	3	8
217	SemRel	integ	unrel	plur	0	0	1	1	1
218	SemRel	integ	unrel	plur	0	0	0	0	2
220	SemRel	integ	unrel	plur	0	0	2	2	4
221	SemRel	integ	unrel	plur	0	0	1	1	5
222	SemRel	integ	unrel	plur	0	0	1	2	6
