subj	subexpt	semint	related	n2num	errnd	errd	errcornd	errcord
86	Cat	unint	rel	sing	0	0	4	4
86	Cat	unint	unrel	plur	0	0	2	2
86	Cat	unint	unrel	sing	0	0	6	6
87	Cat	unint	rel	plur	1	1	3	3
87	Cat	unint	rel	sing	0	0	2	2
87	Cat	unint	unrel	plur	0	0	3	4
87	Cat	unint	unrel	sing	0	0	3	3
88	Cat	unint	rel	plur	0	0	3	4
88	Cat	unint	rel	sing	0	0	5	5
88	Cat	unint	unrel	plur	0	0	2	2
88	Cat	unint	unrel	sing	0	0	4	4
89	Cat	unint	rel	plur	0	0	2	2
89	Cat	unint	rel	sing	0	0	1	2
89	Cat	unint	unrel	plur	0	0	2	4
89	Cat	unint	unrel	sing	0	0	1	2
90	Cat	unint	rel	plur	0	0	4	4
90	Cat	unint	rel	sing	0	0	3	3
90	Cat	unint	unrel	plur	0	0	4	4
90	Cat	unint	unrel	sing	0	0	6	6
91	Cat	unint	rel	plur	1	1	4	4
91	Cat	unint	rel	sing	0	0	5	6
91	Cat	unint	unrel	plur	1	1	5	5
91	Cat	unint	unrel	sing	0	0	6	6
92	Cat	unint	rel	plur	0	0	2	3
92	Cat	unint	rel	sing	0	0	2	3
92	Cat	unint	unrel	plur	0	0	3	3
92	Cat	unint	unrel	sing	0	0	2	3
93	Cat	unint	rel	plur	0	0	5	5
93	Cat	unint	rel	sing	0	0	4	4
93	Cat	unint	unrel	plur	0	0	4	6
93	Cat	unint	unrel	sing	0	0	3	3
94	Cat	unint	rel	plur	1	1	4	5
94	Cat	unint	rel	sing	0	0	5	5
94	Cat	unint	unrel	plur	0	0	1	1
94	Cat	unint	unrel	sing	0	0	4	5
95	Cat	unint	rel	plur	0	0	5	5
95	Cat	unint	rel	sing	0	0	3	5
95	Cat	unint	unrel	plur	0	0	3	4
95	Cat	unint	unrel	sing	0	0	5	6
96	Cat	unint	rel	plur	0	0	6	6
96	Cat	unint	rel	sing	0	0	5	5
96	Cat	unint	unrel	plur	0	0	4	4
96	Cat	unint	unrel	sing	0	0	5	5
97	Cat	unint	rel	plur	0	0	2	2
97	Cat	unint	rel	sing	0	0	2	3
97	Cat	unint	unrel	plur	1	1	3	3
97	Cat	unint	unrel	sing	0	0	2	2
98	Cat	unint	rel	plur	0	0	4	4
98	Cat	unint	rel	sing	0	0	5	5
98	Cat	unint	unrel	plur	0	0	3	3
98	Cat	unint	unrel	sing	0	0	4	4
99	Cat	unint	rel	plur	0	0	4	4
99	Cat	unint	rel	sing	0	0	1	1
99	Cat	unint	unrel	plur	0	0	4	5
99	Cat	unint	unrel	sing	0	0	1	1
100	Cat	unint	rel	plur	0	0	6	6
100	Cat	unint	rel	sing	0	0	5	5
100	Cat	unint	unrel	plur	0	0	4	4
100	Cat	unint	unrel	sing	0	0	4	4
101	Cat	unint	rel	plur	0	0	4	4
101	Cat	unint	rel	sing	0	0	2	2
101	Cat	unint	unrel	plur	1	1	5	5
101	Cat	unint	unrel	sing	0	0	4	4
102	Cat	unint	rel	plur	0	0	1	2
102	Cat	unint	rel	sing	0	0	4	4
102	Cat	unint	unrel	plur	0	0	4	4
102	Cat	unint	unrel	sing	0	0	4	4
103	Cat	unint	rel	plur	0	0	4	5
103	Cat	unint	rel	sing	0	0	3	4
103	Cat	unint	unrel	plur	0	0	4	4
103	Cat	unint	unrel	sing	0	0	3	3
104	Cat	unint	rel	plur	1	1	5	5
104	Cat	unint	rel	sing	0	0	4	4
104	Cat	unint	unrel	plur	0	0	3	3
104	Cat	unint	unrel	sing	0	0	3	3
105	Cat	unint	rel	plur	0	0	6	6
105	Cat	unint	rel	sing	0	0	4	5
105	Cat	unint	unrel	plur	1	1	5	5
105	Cat	unint	unrel	sing	0	0	5	5
106	Cat	unint	rel	plur	0	0	5	5
106	Cat	unint	rel	sing	0	0	3	3
106	Cat	unint	unrel	plur	0	0	2	2
106	Cat	unint	unrel	sing	0	0	3	3
107	Cat	unint	rel	plur	0	0	5	5
107	Cat	unint	rel	sing	0	0	3	3
107	Cat	unint	unrel	plur	0	0	2	2
107	Cat	unint	unrel	sing	0	0	2	3
108	Cat	unint	rel	plur	0	0	2	3
108	Cat	unint	rel	sing	0	0	3	3
108	Cat	unint	unrel	plur	0	0	4	4
108	Cat	unint	unrel	sing	0	0	5	6
109	Cat	unint	rel	plur	0	0	3	4
