S	subexp	related	n2num	end	errd	cnd	errcord	list
37	Prop	unrel	plur	0	0	4	4	1
38	Prop	unrel	plur	0	0	1	1	2
39	Prop	unrel	plur	0	0	3	3	3
40	Prop	unrel	plur	0	0	3	3	4
41	Prop	unrel	plur	0	0	3	3	5
42	Prop	unrel	plur	0	0	3	3	6
43	Prop	unrel	plur	0	0	4	4	1
44	Prop	unrel	plur	0	0	3	3	2
46	Prop	unrel	plur	0	0	3	3	4
47	Prop	unrel	plur	0	0	2	2	5
48	Prop	unrel	plur	0	0	2	2	6
49	Prop	unrel	plur	0	0	1	1	1
50	Prop	unrel	plur	0	0	3	3	2
51	Prop	unrel	plur	0	0	4	4	3
52	Prop	unrel	plur	0	0	3	3	4
53	Prop	unrel	plur	1	1	3	3	5
54	Prop	unrel	plur	0	0	3	3	6
55	Prop	unrel	plur	0	0	3	3	1
56	Prop	unrel	plur	0	0	3	3	2
57	Prop	unrel	plur	0	0	2	2	3
58	Prop	unrel	plur	0	0	3	3	4
59	Prop	unrel	plur	0	0	2	2	5
60	Prop	unrel	plur	0	0	1	2	6
61	Prop	unrel	plur	0	0	1	1	1
62	Prop	unrel	plur	0	0	1	1	2
63	Prop	unrel	plur	0	0	4	4	3
64	Prop	unrel	plur	0	0	3	3	4
65	Prop	unrel	plur	0	0	2	2	5
66	Prop	unrel	plur	1	1	4	4	6
67	Prop	unrel	plur	0	0	1	1	1
68	Prop	unrel	plur	0	0	3	3	2
69	Prop	unrel	plur	0	0	2	2	3
70	Prop	unrel	plur	0	0	3	3	4
71	Prop	unrel	plur	0	0	1	1	5
72	Prop	unrel	plur	0	0	1	1	6
73	Prop	unrel	plur	0	0	3	3	1
74	Prop	unrel	plur	0	0	4	4	2
75	Prop	unrel	plur	0	0	3	4	3
76	Prop	unrel	plur	0	0	4	4	4
77	Prop	unrel	plur	0	0	4	4	5
78	Prop	unrel	plur	0	0	4	4	6
80	Prop	unrel	plur	0	0	4	4	2
81	Prop	unrel	plur	0	0	0	0	3
82	Prop	unrel	plur	0	0	2	3	4
83	Prop	unrel	plur	0	0	0	0	5
84	Prop	unrel	plur	0	0	2	3	6
85	Prop	unrel	plur	0	0	2	2	1
86	Prop	unrel	plur	0	0	3	3	2
87	Prop	unrel	plur	0	0	3	3	3
88	Prop	unrel	plur	0	0	4	4	4
89	Prop	unrel	plur	0	0	0	0	5
90	Prop	unrel	plur	0	0	4	4	6
91	Prop	unrel	plur	0	0	1	1	1
92	Prop	unrel	plur	0	0	1	2	2
93	Prop	unrel	plur	0	0	3	3	3
94	Prop	unrel	plur	0	0	3	3	4
95	Prop	unrel	plur	0	0	3	4	5
96	Prop	unrel	plur	0	0	3	3	6
