subject,text,exp,integrated,related.x,n2num.x,maincode,dysfluency,integ,len.char,len.phon,len.syll,lf.head,lf.prep,lf.adj,lf.noun,rel.hl,rel.lh,asso,plaus,animacy,LengthChar.Head,LengthChar.Prep,LengthChar.Adj,LengthChar.Noun,LengthPhon.Head,LengthPhon.Prep,LengthPhon.Adj,LengthPhon.Noun,LengthSylHead,LengthSyll.Prep,LengthSyll.Adj,LengthSyll.Noun,Freq1Mil.Head,FreqMil.Prep,FreqMil.Adj,FreqMil.N1,LogFr.Head,LogFreq.Prep,LogFreq.Adj,LogFreq.N1,RelatedHL,RelatedLH,Integrated,Ass..H.L,Ass..L.HP,Ass..L.HS,AssArc.H.L,AssArc.L.HP,AssArc.L.HS,Plausibility
1003,The kiwi beside the fake peaches,Cat,unint,rel,plur,C,,-0.936780591,-0.290244461,-0.271546336,0.127160397,-1.514112106,-1.364168082,0.888981431,-0.192310805,0.118387032,0.316497676,0,4.57,I,4,6,4,7,4,6,3,6,2,2,1,2,0.76,14.96,29.22,4.02,0.25,1.2,1.48,0.7,4.42,4.75,2.67,0,0,0,0,0,0,4.57
1003,The knife beside the heavy cans,Cat,unint,unrel,plur,C,,-1.429220573,-0.590996925,-0.58461124,-0.596427444,1.180529656,-1.364168082,1.202512542,0.224361198,-1.557873939,-1.231070039,0,4.42,I,5,6,5,4,4,6,4,4,1,2,2,1,46.55,14.96,47.04,7.37,1.68,1.2,1.68,0.92,1.58,2.17,2.08,0,0,0,0,0,0,4.42
1003,The monastery near the ancient castles,Cat,unint,unrel,plur,C,,0.381956987,1.514270322,1.606843093,1.574336078,-0.722678861,-0.741949609,0.685186209,-1.006715176,-0.719743454,-0.331321368,0,6.04,I,9,4,7,7,9,3,7,6,4,1,2,2,3.69,59.14,21.61,0.88,0.67,1.78,1.35,0.27,3,3.67,4.25,0,0,0,0,0,0,6.04
1003,The rake beside the muddy glove,Cat,unint,rel,sing,C,,-0.202293839,-0.590996925,-0.897676145,-0.596427444,-1.344519268,-1.364168082,-0.490555456,0.451636837,-1.162418006,-1.183083444,0,5,I,4,6,5,5,3,6,4,4,1,2,2,1,1.18,14.96,2.98,10.08,0.34,1.2,0.6,1.04,2.25,2.25,3.55,0,0,0,0,0,0,5
1003,The robin by the frightened chipmunks,Cat,unint,unrel,plur,C,,-0.594576536,1.213517858,1.606843093,0.127160397,-1.17492643,0.652678003,0.497067543,-1.347628633,-0.471845704,-0.835180624,0,4.67,A,5,2,10,9,5,3,8,9,2,1,2,2,1.71,1212.84,15.92,0.24,0.43,3.08,1.23,0.09,3.42,2.83,3.08,0,0,0,0,0,0,4.67
1003,The saw by the oily rag,Cat,unint,unrel,sing,C,,-1.35410261,-2.997016635,-2.463000669,-1.320015285,-0.289274942,0.652678003,-0.976528677,-0.078672986,-1.605092558,-1.333041556,0,5.42,I,3,2,4,3,2,3,4,3,1,1,2,1,6.92,1212.84,0.94,4.75,0.9,3.08,0.29,0.76,1.5,2,2.17,0,0,0,0,0,0,5.42
1003,The spider by the aggressive bee,Cat,unint,rel,sing,C,,-0.594576536,-0.290244461,-0.271546336,0.127160397,-0.02546386,0.652678003,0.058123988,0.470576473,0.018047467,0.166539564,0,4.5,A ,6,2,10,3,7,3,7,2,2,1,3,1,10.08,1212.84,7.94,10.12,1.04,3.08,0.95,1.05,4.25,4.5,3.08,0,0,0,0,0,0,4.5
1003,The tent near the spooky cabins,Cat,unint,rel,plur,C,,-0.177254518,-0.590996925,-0.58461124,-0.596427444,0.389096411,-0.741949609,-0.239730567,-0.968835903,0.708619769,0.466455788,0,5.58,I,4,4,6,6,4,3,5,6,1,1,2,2,17.39,59.14,4.71,0.96,1.26,1.78,0.76,0.29,5.42,5,3.58,0,0,0,0,0,0,5.58
1003,The van near the dented trailer,Cat,unint,unrel,sing,C,,0.031406491,-0.590996925,-0.58461124,-0.596427444,0.803656682,-0.741949609,-1.321412899,0.527395383,-0.471845704,0.166539564,0,5.67,I,3,4,6,7,3,3,6,6,1,1,2,2,29,59.14,0.18,11.08,1.48,1.78,0.07,1.08,3.42,4.5,3.83,0,0,0,0,0,0,5.67
1004,The dorm near the new condo,Cat,unint,rel,sing,C,,-0.661348059,-1.79400678,-1.836870859,-0.596427444,-0.30811859,-0.741949609,2.879903983,-0.173371169,-0.029171152,0.118552968,0,5.21,I,4,4,3,5,4,3,2,5,1,1,1,3,6.84,59.14,555.43,4.18,0.89,1.78,2.75,0.71,4.17,4.42,3,0,0,0,0,0,0,5.21
