subj	subexpt	semint	related	n2num	errnd	errd	errcornd	errcord
86	Prop	unint	assoc	sing	0	0	3	3
86	Prop	unint	rel	plur	0	0	1	1
86	Prop	unint	rel	sing	0	0	2	2
86	Prop	unint	unrel	plur	0	0	3	3
86	Prop	unint	unrel	sing	0	0	3	3
87	Prop	unint	assoc	plur	0	0	2	2
87	Prop	unint	assoc	sing	0	0	4	4
87	Prop	unint	rel	plur	0	0	1	1
87	Prop	unint	rel	sing	0	0	2	2
87	Prop	unint	unrel	plur	0	0	3	3
87	Prop	unint	unrel	sing	0	0	3	3
88	Prop	unint	assoc	plur	0	1	3	4
88	Prop	unint	assoc	sing	0	0	3	3
88	Prop	unint	rel	plur	0	0	4	4
88	Prop	unint	rel	sing	0	0	3	3
88	Prop	unint	unrel	plur	0	0	4	4
88	Prop	unint	unrel	sing	0	0	4	4
89	Prop	unint	assoc	plur	0	0	0	2
89	Prop	unint	assoc	sing	0	0	2	2
89	Prop	unint	rel	plur	0	0	1	1
89	Prop	unint	rel	sing	0	0	1	2
89	Prop	unint	unrel	plur	0	0	0	0
89	Prop	unint	unrel	sing	0	0	1	2
90	Prop	unint	assoc	plur	0	0	3	3
90	Prop	unint	assoc	sing	0	0	3	3
90	Prop	unint	rel	plur	0	0	3	3
90	Prop	unint	rel	sing	0	0	3	3
90	Prop	unint	unrel	plur	0	0	4	4
90	Prop	unint	unrel	sing	0	0	4	4
91	Prop	unint	assoc	plur	0	0	4	4
91	Prop	unint	assoc	sing	0	0	4	4
91	Prop	unint	rel	plur	0	1	1	2
91	Prop	unint	rel	sing	0	0	3	3
91	Prop	unint	unrel	plur	0	0	1	1
91	Prop	unint	unrel	sing	0	0	4	4
92	Prop	unint	assoc	plur	0	0	3	3
92	Prop	unint	assoc	sing	0	0	2	3
92	Prop	unint	rel	plur	0	0	1	1
92	Prop	unint	rel	sing	0	0	2	2
92	Prop	unint	unrel	plur	0	0	1	2
92	Prop	unint	unrel	sing	0	0	2	2
93	Prop	unint	assoc	plur	0	0	2	3
93	Prop	unint	assoc	sing	0	0	4	4
93	Prop	unint	rel	plur	0	0	2	2
93	Prop	unint	rel	sing	0	0	3	3
93	Prop	unint	unrel	plur	0	0	3	3
93	Prop	unint	unrel	sing	0	0	4	4
94	Prop	unint	assoc	plur	1	1	2	2
94	Prop	unint	assoc	sing	0	0	3	3
94	Prop	unint	rel	plur	0	0	2	2
94	Prop	unint	rel	sing	0	0	2	2
94	Prop	unint	unrel	plur	0	0	3	3
94	Prop	unint	unrel	sing	0	0	3	3
95	Prop	unint	assoc	plur	0	0	4	4
95	Prop	unint	assoc	sing	0	0	4	4
95	Prop	unint	rel	plur	1	1	4	4
95	Prop	unint	rel	sing	0	0	2	3
95	Prop	unint	unrel	plur	0	0	3	4
95	Prop	unint	unrel	sing	0	0	4	4
96	Prop	unint	assoc	plur	0	0	3	3
96	Prop	unint	assoc	sing	0	0	4	4
96	Prop	unint	rel	plur	0	0	2	3
96	Prop	unint	rel	sing	0	0	2	2
96	Prop	unint	unrel	plur	0	0	3	3
96	Prop	unint	unrel	sing	0	0	4	4
97	Prop	unint	assoc	plur	1	1	3	3
97	Prop	unint	assoc	sing	0	0	2	2
97	Prop	unint	rel	plur	0	0	3	3
97	Prop	unint	rel	sing	0	0	2	2
97	Prop	unint	unrel	plur	0	0	2	2
97	Prop	unint	unrel	sing	0	0	2	2
98	Prop	unint	assoc	plur	0	0	3	3
98	Prop	unint	assoc	sing	0	0	3	3
98	Prop	unint	rel	plur	0	0	3	3
98	Prop	unint	rel	sing	0	0	1	1
98	Prop	unint	unrel	plur	0	0	4	4
98	Prop	unint	unrel	sing	0	0	3	3
99	Prop	unint	assoc	plur	0	0	2	2
99	Prop	unint	assoc	sing	0	0	3	3
99	Prop	unint	rel	plur	0	0	3	3
99	Prop	unint	rel	sing	0	0	1	2
99	Prop	unint	unrel	plur	0	0	3	4
99	Prop	unint	unrel	sing	0	0	3	3
100	Prop	unint	assoc	plur	0	0	3	3
100	Prop	unint	assoc	sing	0	0	2	3
100	Prop	unint	rel	plur	0	0	3	3
100	Prop	unint	rel	sing	0	0	4	4
100	Prop	unint	unrel	plur	0	0	4	4
100	Prop	unint	unrel	sing	0	0	3	3
101	Prop	unint	assoc	plur	0	0	2	4
101	Prop	unint	assoc	sing	0	0	2	2
101	Prop	unint	rel	plur	0	0	3	3
